distance ,density1,density2,density3
-27.45,0,0,0
-27.35,0,0,0
-27.25,0,0,0
-27.15,0,0,0
-27.05,0,0,0
-26.95,0,0,0
-26.85,0,0,0
-26.75,0,0,0
-26.65,0,0,0
-26.55,0,0,0
-26.45,0,0,0
-26.35,0,0,0
-26.25,0,0,0
-26.15,0,0,0
-26.05,0,0,0
-25.95,0,0,0
-25.85,0,0,0
-25.75,0,0,0
-25.65,0,0,0
-25.55,0,0,0
-25.45,0,0,0
-25.35,0,0,0
-25.25,0,0,0
-25.15,0,0,0
-25.05,0,0,0
-24.95,0,0,0
-24.85,0,0,0
-24.75,0,0,0
-24.65,0,0,0
-24.55,0,0,0
-24.45,0,0,0
-24.35,0,0,0
-24.25,0,0,0
-24.15,0,0,0
-24.05,0,0,0
-23.95,0,0,0
-23.85,0,0,0
-23.75,0,0,0
-23.65,0,0,0
-23.55,0,0,0
-23.45,0,0,0
-23.35,0,0,0
-23.25,0,0,0
-23.15,0,0,0
-23.05,0,0,0
-22.95,0,0,0
-22.85,0,0,0
-22.75,0,0,0.0127551
-22.65,0,0.00561224,0.0295918
-22.55,0.0178571,0.0173469,0.104592
-22.45,0.0372449,0.0510204,0.153061
-22.35,0.139796,0.155612,0.117857
-22.25,0.32449,0.393878,0.280612
-22.15,0.490306,0.510714,0.479082
-22.05,0.389796,0.403571,0.387755
-21.95,0.330102,0.355102,0.298469
-21.85,0.253061,0.22398,0.22449
-21.75,0.372449,0.203571,0.226531
-21.65,0.198469,0.10102,0.207143
-21.55,0.161224,0.133673,0.184694
-21.45,0.166327,0.19949,0.129592
-21.35,0.205102,0.196429,0.156633
-21.25,0.141327,0.207143,0.15051
-21.15,0.106122,0.112755,0.0489796
-21.05,0.0484694,0.0683673,0.0428571
-20.95,0.027551,0.0933673,0.044898
-20.85,0.0602041,0.0392857,0.0484694
-20.75,0.0494898,0.0183673,0.0627551
-20.65,0.00102041,0.00714286,0.0316327
-20.55,0.00765306,0.00714286,0.0362245
-20.45,0.0642857,0.0173469,0.115816
-20.35,0.0709184,0.0285714,0.131122
-20.25,0.00663265,0.0505102,0.0760204
-20.15,0.0647959,0.0811224,0.116327
-20.05,0.0989796,0.121429,0.128571
-19.95,0.154082,0.211735,0.127041
-19.85,0.185204,0.272959,0.160204
-19.75,0.153061,0.242857,0.154592
-19.65,0.188776,0.211224,0.184184
-19.55,0.314796,0.217857,0.169388
-19.45,0.266837,0.247449,0.211735
-19.35,0.165306,0.266837,0.284694
-19.25,0.154592,0.222959,0.188776
-19.15,0.154592,0.15051,0.186735
-19.05,0.147959,0.167857,0.15051
-18.95,0.163776,0.15,0.0852041
-18.85,0.163776,0.109694,0.0897959
-18.75,0.153571,0.052551,0.0653061
-18.65,0.0642857,0.115816,0.080102
-18.55,0.0556122,0.106122,0.0984694
-18.45,0.0540816,0.0729592,0.147449
-18.35,0.0653061,0.0566327,0.118878
-18.25,0.106633,0.111735,0.0719388
-18.15,0.0882653,0.108163,0.0877551
-18.05,0.139796,0.0857143,0.0683673
-17.95,0.0984694,0.0806122,0.0806122
-17.85,0.0862245,0.0535714,0.0642857
-17.75,0.0806122,0.0668367,0.135714
-17.65,0.114286,0.0637755,0.218878
-17.55,0.170408,0.140306,0.232653
-17.45,0.177551,0.211224,0.140816
-17.35,0.143878,0.242857,0.0989796
-17.25,0.176531,0.236224,0.105102
-17.15,0.144388,0.178571,0.143878
-17.05,0.165816,0.181122,0.0790816
-16.95,0.15051,0.191837,0.103571
-16.85,0.20102,0.170918,0.0994898
-16.75,0.136224,0.145918,0.185714
-16.65,0.143878,0.145918,0.212245
-16.55,0.116837,0.106633,0.237755
-16.45,0.12602,0.123469,0.269388
-16.35,0.185714,0.106633,0.15102
-16.25,0.109694,0.0744898,0.130612
-16.15,0.102551,0.0596939,0.114286
-16.05,0.0846939,0.0663265,0.112755
-15.95,0.0989796,0.0816327,0.130612
-15.85,0.129592,0.131122,0.0755102
-15.75,0.108673,0.154082,0.12551
-15.65,0.142347,0.154082,0.103571
-15.55,0.0897959,0.101531,0.148469
-15.45,0.135204,0.116327,0.145918
-15.35,0.146939,0.135204,0.136735
-15.25,0.17449,0.136735,0.05
-15.15,0.101531,0.190816,0.0770408
-15.05,0.12398,0.209184,0.0872449
-14.95,0.133673,0.226531,0.122959
-14.85,0.134694,0.106122,0.120918
-14.75,0.155612,0.120408,0.0913265
-14.65,0.222959,0.113265,0.164286
-14.55,0.166837,0.159184,0.164796
-14.45,0.185714,0.215816,0.130102
-14.35,0.192857,0.158163,0.134694
-14.25,0.143878,0.111735,0.145408
-14.15,0.0821429,0.113776,0.231633
-14.05,0.0821429,0.118367,0.212755
-13.95,0.138776,0.127551,0.115816
-13.85,0.144898,0.0729592,0.120918
-13.75,0.123469,0.0668367,0.108163
-13.65,0.110714,0.109184,0.161224
-13.55,0.0959184,0.15,0.0918367
-13.45,0.0862245,0.142347,0.133163
-13.35,0.134184,0.0918367,0.0913265
-13.25,0.142857,0.133673,0.102551
-13.15,0.143367,0.15051,0.180102
-13.05,0.158673,0.157143,0.139796
-12.95,0.0959184,0.193367,0.146939
-12.85,0.113776,0.116327,0.14949
-12.75,0.136735,0.094898,0.117857
-12.65,0.105612,0.0658163,0.15051
-12.55,0.0683673,0.075,0.072449
-12.45,0.0928571,0.106122,0.138265
-12.35,0.145918,0.111735,0.10102
-12.25,0.231122,0.0826531,0.112245
-12.15,0.186735,0.0693878,0.0954082
-12.05,0.154082,0.153571,0.128061
-11.95,0.052551,0.204082,0.114796
-11.85,0.131122,0.187245,0.145408
-11.75,0.0903061,0.252551,0.170918
-11.65,0.129082,0.245408,0.208673
-11.55,0.130102,0.159694,0.20051
-11.45,0.132143,0.103061,0.182653
-11.35,0.171429,0.112245,0.160714
-11.25,0.178571,0.103061,0.133163
-11.15,0.141837,0.105102,0.120918
-11.05,0.0979592,0.153061,0.108163
-10.95,0.137755,0.0954082,0.132653
-10.85,0.195408,0.0959184,0.113265
-10.75,0.160204,0.120408,0.133163
-10.65,0.12398,0.127551,0.114286
-10.55,0.160204,0.102551,0.0821429
-10.45,0.114796,0.0928571,0.0928571
-10.35,0.0852041,0.0877551,0.206633
-10.25,0.0984694,0.148469,0.170918
-10.15,0.168367,0.133673,0.119898
-10.05,0.134184,0.140306,0.0688776
-9.95,0.152551,0.184184,0.0816327
-9.85,0.155102,0.122449,0.0852041
-9.75,0.132653,0.115306,0.119388
-9.65,0.15,0.119388,0.0806122
-9.55,0.15,0.123469,0.12398
-9.45,0.153571,0.103571,0.180612
-9.35,0.187755,0.127041,0.207653
-9.25,0.132143,0.119898,0.142347
-9.15,0.154592,0.0933673,0.0989796
-9.05,0.12602,0.141837,0.162755
-8.95,0.164796,0.139286,0.109184
-8.85,0.132143,0.161224,0.120918
-8.75,0.0836735,0.179592,0.157143
-8.65,0.0734694,0.220408,0.158163
-8.55,0.103571,0.145408,0.17602
-8.45,0.0903061,0.15102,0.139796
-8.35,0.130102,0.0918367,0.104592
-8.25,0.0857143,0.110714,0.145918
-8.15,0.129082,0.111735,0.142347
-8.05,0.10102,0.160714,0.165306
-7.95,0.106633,0.147959,0.196429
-7.85,0.152551,0.122449,0.169388
-7.75,0.165816,0.110204,0.120408
-7.65,0.203061,0.145918,0.140816
-7.55,0.212245,0.140816,0.139286
-7.45,0.141327,0.0882653,0.113776
